"Ref. ID","Title Verified","Authors Verified","Year Verified","Venue Verified","DOI Verified","Full Text?","Used for Which Claim?","Evidence locator","Uncertainty","","","","","","","","","",""
"P01","Verified","Verified against authoritative record","Verified","Verified","Crossref identity verified; resolver 403 → https://journals.sagepub.com/doi/10.5772/60416","Full text","Remote assistive communication and hardware abstraction precede AMP.","Architecture and experimental sections","","","","","","","","","","",""
"P02","Verified","Verified against authoritative record","Verified","Verified","Crossref identity verified; resolver 200 → https://linkinghub.elsevier.com/retrieve/pii/S2405896316325976","Abstract only","MQTT-based assistive routing is established.","Publisher abstract","","","","","","","","","","",""
"P03","Verified","Verified against authoritative record","Verified","Verified","Crossref identity verified; resolver 200 → https://www.eriesjournal.com/index.php/eries/article/view/1192","Full text","Bidirectional Braille–speech conversion is prior art; target-user effectiveness is not demonstrated here.","Methods, two experiments, discussion on recruitment and surface contact","","","","","","","","","","",""
"P04","Verified","Verified against authoritative record","Verified","Verified","Crossref identity verified; resolver 403 → https://dl.acm.org/doi/10.1145/2998181.2998215","Full text","AAC already includes distributed heterogeneous devices, preferences and conversation state.","System design, study and discussion","","","","","","","","","","",""
"P05","Verified","Verified against authoritative record","Verified","Verified","Crossref identity verified; resolver 202 → https://ieeexplore.ieee.org/document/9765570/","Full text","Accessible pacing, customization and replay needs have assistive precedents.","Author manuscript: design, usability study and discussion","","","","","","","","","","",""
"P06","Verified","Verified against authoritative record","Verified","Verified","Crossref identity verified; resolver 403 → https://academic.oup.com/iwc/article-lookup/doi/10.1016/j.intcom.2012.06.003","Abstract only","Remote accessible messaging and interface adaptation predate AMP.","Publisher abstract","","","","","","","","","","",""
"P07","Verified","Verified against authoritative record","Verified","Verified","Crossref identity verified; resolver 403 → https://journals.sagepub.com/doi/10.3233/TAD-190254","Full text","Communication success depends on support and access conditions.","Methods, findings and discussion","","","","","","","","","","",""
"P08","Verified","Verified against authoritative record","Verified","Verified","Crossref identity verified; resolver 200 → https://www.frontiersin.org/journals/communication/articles/10.3389/fcomm.2023.1180257/full","Abstract only","AAC participation motivates requirements beyond device connection.","Publisher abstract","","","","","","","","","","",""
"P09","Verified","Verified against authoritative record","Verified","Verified","Crossref identity verified; resolver 403 → https://dl.acm.org/doi/10.1145/3613904.3641930","Full text","Mixed-ability collaboration is an established research field.","Review method, synthesis and discussion","","","","","","","","","","",""
"P10","Verified","Verified against authoritative record","Verified","Verified","Crossref identity verified; resolver 403 → https://dl.acm.org/doi/10.1145/3772318.3790419","Full text","User agency and team practices must inform AMP preference controls.","Publisher full-text methods and findings","","","","","","","","","","",""
"P11","Verified","Verified against authoritative record","Verified","Verified","Crossref identity verified; resolver 403 → https://dl.acm.org/doi/10.1145/3772318.3790872","Abstract only","Cross-modal conversion can entail human work and access tradeoffs.","Publisher abstract","","","","","","","","","","",""
"P12","Verified","Verified against authoritative record","Verified","Verified","Crossref identity verified; resolver 403 → https://dl.acm.org/doi/10.1145/3800645.3813075","Abstract only","Fallback selection cannot assume one universally preferred modality.","Author manuscript abstract and publication header","","","","","","","","","","",""
"P13","Verified","Verified against authoritative record","Verified","Verified","Crossref identity verified; resolver 403 → https://journals.sagepub.com/doi/full/10.3233/AIS-200578","Full text","IoT syntactic and semantic interoperability are prior art.","Architecture and CasAware integration sections","","","","","","","","","","",""
"P14","Verified","Verified against authoritative record","Verified","Verified","Crossref identity verified; resolver 403 → https://onlinelibrary.wiley.com/doi/10.1002/ett.4544","Abstract only","Semantic discovery and composition are not AMP novelty.","Crossref publisher-deposited abstract","","","","","","","","","","",""
"P15","Verified","Verified against authoritative record","Verified","Verified","Crossref identity verified; resolver 403 → https://journals.sagepub.com/doi/full/10.3233/AIS-160370","Full text","Device-independent interfaces and preference infrastructure are established.","Relevant framework sections, especially section 4.2.3","","","","","","","","","","",""
"P16","Verified","Verified against authoritative record","Verified","Verified","Crossref identity verified; resolver 403 → https://www.mdpi.com/1424-8220/24/16/5199","Abstract only","Assistive edge multimodal architecture is prior art.","Publisher-deposited abstract","","","","","","","","","","",""
"P17","Verified","Verified against authoritative record","Verified","Verified","Crossref identity verified; resolver 200 → https://linkinghub.elsevier.com/retrieve/pii/S0167739X24002589","Abstract only","Edge distribution and platform bridging are implementation foundations.","Publisher abstract","","","","","","","","","","",""
"P19","Verified","Verified against authoritative record","Verified","Verified","Crossref identity verified; resolver 200 → https://link.springer.com/chapter/10.1007/978-3-319-94277-3_33","Abstract only","Cloud-based remote tactile communication precedes AMP.","Springer chapter abstract","","","","","","","","","","",""
"P20","Verified","Verified against authoritative record","Verified","Verified","Crossref identity verified; resolver 403 → https://onlinelibrary.wiley.com/doi/10.1111/dmcn.15387","Abstract only","Remote AAC literature is relevant but not automatically equivalent to an assistive protocol.","Publisher abstract","Online 2022; final volume 65 issue 2 (2023).","","","","","","","","","",""
